Url, Site, Type, Size, Date Created, Date Modified, Sub-Directories, Owner
\\lehi3\www$\AcademicCouncil\1991\91_05_08.htm, AcademicCouncil, .htm, 4543B, 2006/03/31, 1999/09/01, 2, BUILTIN\Administrators
\\lehi3\www$\AcademicCouncil\1991\91_05_13.htm, AcademicCouncil, .htm, 3976B, 2006/03/31, 1999/09/01, 2, BUILTIN\Administrators
\\lehi3\www$\AcademicCouncil\1991\91_05_17.htm, AcademicCouncil, .htm, 8571B, 2006/03/31, 1999/09/01, 2, BUILTIN\Administrators
\\lehi3\www$\AcademicCouncil\1991\91_05_20.htm, AcademicCouncil, .htm, 4020B, 2006/03/31, 1999/09/01, 2, BUILTIN\Administrators
\\lehi3\www$\AcademicCouncil\1991\91_05_21.htm, AcademicCouncil, .htm, 2990B, 2006/03/31, 1999/09/01, 2, BUILTIN\Administrators
\\lehi3\www$\AcademicCouncil\1991\91_05_22.htm, AcademicCouncil, .htm, 3813B, 2006/03/31, 1999/09/01, 2, BUILTIN\Administrators
\\lehi3\www$\AcademicCouncil\1991\91_05_29.htm, AcademicCouncil, .htm, 3052B, 2006/03/31, 1999/09/01, 2, BUILTIN\Administrators
\\lehi3\www$\AcademicCouncil\1991\91_05_30.htm, AcademicCouncil, .htm, 3660B, 2006/03/31, 1999/09/01, 2, BUILTIN\Administrators
\\lehi3\www$\AcademicCouncil\1991\91_06_11.htm, AcademicCouncil, .htm, 4912B, 2006/03/31, 1999/09/01, 2, BUILTIN\Administrators
\\lehi3\www$\AcademicCouncil\1991\91_07_30.htm, AcademicCouncil, .htm, 6686B, 2006/03/31, 1999/09/01, 2, BUILTIN\Administrators
\\lehi3\www$\AcademicCouncil\1991\91_08_13.htm, AcademicCouncil, .htm, 7377B, 2006/03/31, 1999/09/01, 2, BUILTIN\Administrators
\\lehi3\www$\AcademicCouncil\1991\91_08_15.htm, AcademicCouncil, .htm, 4883B, 2006/03/31, 1999/09/01, 2, BUILTIN\Administrators
\\lehi3\www$\AcademicCouncil\1992\92_04_29.htm, AcademicCouncil, .htm, 5308B, 2006/03/31, 1999/09/01, 2, BUILTIN\Administrators
\\lehi3\www$\AcademicCouncil\1992\92_05_13.htm, AcademicCouncil, .htm, 4305B, 2006/03/31, 1999/09/02, 2, BUILTIN\Administrators
\\lehi3\www$\AcademicCouncil\1992\92_05_19.htm, AcademicCouncil, .htm, 3919B, 2006/03/31, 1999/09/02, 2, BUILTIN\Administrators
\\lehi3\www$\AcademicCouncil\1992\92_05_20.htm, AcademicCouncil, .htm, 2931B, 2006/03/31, 1999/09/02, 2, BUILTIN\Administrators
\\lehi3\www$\AcademicCouncil\1992\92_05_21.htm, AcademicCouncil, .htm, 4974B, 2006/03/31, 1999/09/02, 2, BUILTIN\Administrators
